Skill
Python
Java
C++
SQL
Machine Learning
Deep Learning
TensorFlow
PyTorch
Keras
Scikit-learn
Pandas
NumPy
OpenCV
NLP
Computer Vision
FastAPI
Flask
Docker
Kubernetes
Git
AWS
Azure
GCP
MLflow
Spark
Hadoop
Power BI
Tableau
Excel
Linux
